Brand,Model,Battery,Motor,Controller,Charger,Front Suspension,Rear Suspension,Front Brake,Rear Brake,Front Tire,Rear Tire,Wheel Type/Size,Display Type,Lights,Frame Type,Top Speed (km/h),Range (km),Weight (kg),Load Capacity (kg),Other Key Components/Specs
Komaki,Venice,"Li-ion, 1.5-2.0 kWh, 60V","BLDC hub, 1.0-1.5 kW, 25 Nm","25A, basic","8A, 4-5 hrs","Telescopic","Dual shock","Drum","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital","LED","Steel",45-50,70-80,85,75,"Stylish design, compact size, cruise control"
Komaki,XGT X-One,"Graphene, 1.2-1.5 kWh, 48V","BLDC hub, 0.8-1.0 kW, 20 Nm","20A, basic","6A, 4 hrs","Telescopic","Coil","Drum","Drum","3.00-10","3.00-10","Steel, 10 inch","Analog","Halogen","Steel",45-50,60-75,80,80,"Graphene battery, fire-resistant, anti-theft"
Komaki,SE,"Li-ion, 1.0 kWh, 48V","BLDC hub, 0.7 kW, 18 Nm","18A, entry-level","5A, 3-4 hrs","Telescopic","Coil spring","Drum","Drum","90/100-10","90/100-10","Steel, 10 inch","Basic digital","LED","Steel",40,50-65,75,70,"Entry-level, lightweight, simple controls"
Komaki,DT 3000,"Li-ion, 2.0+ kWh, 60V","BLDC hub, 1.5+ kW, 35 Nm","35A, high range","10A, 5-6 hrs","Telescopic","Twin shock","Disc","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital","LED","Steel",60+,100+,95,100+,"Durable tires, high range variants, regen"
Komaki,XGT KM,"Li-ion, 1.8 kWh, 60V","BLDC hub, 1.3 kW, 30 Nm","30A, high torque","8A, 5 hrs","Telescopic","Coil","Drum","Drum","3.00-10","3.00-10","Alloy, 10 inch","Digital","LED","Steel",50,80-90,85,90,"High torque motor, cruise mode, USB"
Komaki,Flora,"Li-ion, 1.2 kWh, 48V","BLDC hub, 0.9 kW, 20 Nm","20A, basic","6A, 4 hrs","Telescopic","Dual shock","Drum","Drum","90/90-12","90/90-12","Steel, 12 inch","Digital","LED","Steel",45,65-75,80,75,"Women-friendly, low seat height, stylish accents"
Komaki,Cat 2.0,"Li-ion, 1.4-2.0 kWh, 60V","BLDC hub, 1.0-1.5 kW, 25 Nm","25A, range focus","8A, 4-5 hrs","Telescopic","Coil","Drum","Drum","90/100-10","90/100-10","Alloy, 10 inch","Digital","LED","Steel",45-55,70-100,85,80,"Petrol-like range, dual mode, anti-skid"
Benling,Aura,"Li-ion, 2.2 kWh, 72V","BLDC hub, 1.5 kW, 35 Nm","35A, combined braking","10A, 5 hrs","Telescopic","Twin shock","Disc","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital with app","LED","Steel",55,90-100,95,90,"Combined braking system, app connectivity, smart alert"
Benling,Icon,"Li-ion, 2.0 kWh, 60V","BLDC hub, 1.3 kW, 30 Nm","30A, basic","8A, 4-5 hrs","Telescopic","Coil","Drum","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital","LED","Steel",50,85-95,90,85,"Iconic design, USB port, hazard lights"
Benling,Falcon,"Li-ion, 2.5 kWh, 72V","BLDC hub, 1.6 kW, 40 Nm","40A, high range","10A, 5 hrs","Telescopic hydraulic","Dual shock","Disc","Drum","90/90-12 tubeless","100/80-12 tubeless","Alloy, 12 inch","Digital","LED","Steel alloy",55,95-105,100,100,"High range battery, regen, anti-theft"
Benling,Kriti,"Li-ion, 1.8 kWh, 60V","BLDC hub, 1.2 kW, 25 Nm","25A, premium features","8A, 4 hrs","Telescopic","Coil spring","Drum","Drum","3.00-10","3.00-10","Steel, 10 inch","Digital","LED","Steel",50,80-90,85,85,"Affordable premium, smart BMS, USB"
Okaya,Faast F2B,"Li-ion, 2.5-3.5 kWh, 72V","BLDC hub, 2.0 kW, 40 Nm","40A, fast charge","15A, 4-5 hrs","Telescopic","Twin shock","Disc","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital","LED","Steel",70,120-160,100,110,"Fast charge (2hrs option), high range, regen"
Okaya,Freedum,"Li-ion, 1.4-2.2 kWh, 60V","BLDC hub, 0.8-1.5 kW, 25 Nm","25A, variant dependent","8A, 5-6 hrs","Telescopic","Coil","Drum","Drum","3.00-10","3.00-10","Steel, 10 inch","Basic digital","Halogen/LED","Steel",25-60,70-120,90,95,"Freedom range, low/high-speed variants, detachable battery"
Okaya,Classiq,"Li-ion, 2.0 kWh, 60V","BLDC hub, 1.3 kW, 30 Nm","30A, classic","10A, 4-5 hrs","Telescopic","Dual shock","Drum","Drum","90/90-12","90/90-12","Alloy, 12 inch","Analog-digital","LED","Steel",55,90-110,95,90,"Classic style, chrome accents, USB"
Okaya,Evok,"Li-ion, 2.5 kWh, 72V","BLDC hub, 1.7 kW, 35 Nm","35A, power focus","10A, 5 hrs","Telescopic hydraulic","Twin shock","Disc","Drum","90/90-12","100/80-12","Alloy, 12 inch","Digital","LED","Steel",60,110-130,100,100,"Power delivery, regen braking, app"
Hero Electric,Optima CX,"Li-ion, 1.5-3.0 kWh, 60V","BLDC hub, 1.2-2.0 kW, 30 Nm","30A, removable support","10A, 4-6 hrs","Telescopic","Dual shock","Drum","Drum","90/90-12","90/90-12","Alloy, 12 inch","Digital","LED","Steel",50-55,80-140,90,85-100,"Convertible seats, removable battery, USB port"
Hero Electric,Photon HX,"Li-ion, 2.0-3.0 kWh, 72V","BLDC hub, 1.5 kW, 35 Nm","35A, high range","10A, 5 hrs","Telescopic","Coil","Disc","Drum","90/90-12 tubeless","90/90-12 tubeless","Alloy, 12 inch","Digital","LED","Steel",55,90-110,95,90,"High range variants, aerostyle, regen"
Hero Electric,Nyx HX,"Li-ion, 1.8-2.5 kWh, 60V","BLDC hub, 1.3 kW, 30 Nm","30A, sleek","8A, 4-5 hrs","Telescopic","Twin shock","Drum","Drum","3.00-10","3.00-10","Steel, 10 inch","Digital","LED","Steel",50,85-100,85,85,"Sleek design, night rider lights, foldable seats"
Hero Electric,Atria,"Li-ion, 1.5-2.0 kWh, 60V","BLDC hub, 1.2 kW, 25 Nm","25A, basic","8A, 4-5 hrs","Telescopic","Coil spring","Drum","Drum","90/100-10","90/100-10","Alloy, 10 inch","Digital","LED","Loop frame steel",50,85-100,80,80,"Loop frame, comfortable seating, USB"
Revolt,RV400,"Li-ion, 3.24 kWh, 72V","Mid-drive PMSM, 3.0-4.0 kW, 50 Nm","50A, AI features","15A, 4-5 hrs","Upside-down fork","Mono shock adjustable","Disc","Disc","90/80-17","120/80-17","Alloy, 17 inch","Digital with app","LED projector","Trellis steel",85,120-150,108,110,"Swappable battery, AI app, sound options, chain drive, CBS"
Revolt,RV300,"Li-ion, 2.7 kWh, 60V","BLDC hub, 1.5 kW, 40 Nm","40A, lightweight","10A, 4 hrs","Telescopic","Twin shock","Disc","Drum","90/90-12","110/80-12","Alloy, 12 inch","Digital","LED","Steel",65,100-120,101,95,"Lightweight, metro commute, three modes (Eco/Normal/Sport)"
Ather,450X,"Li-ion, 2.9-3.7 kWh, 72V","PMSM, 6.0 kW, 26 Nm","Advanced ECU, OTA","Fast DC, 4-6 hrs","Telescopic","Mono shock","Disc","Disc","90/90-12","100/80-12","Alloy, 12 inch","7-inch touchscreen","LED with DRL","Aluminium alloy",90,110-150,111,120,"Touchscreen dashboard, OTA updates, fast charge, navigation, IP65 rated"
Ather,450 Plus,"Li-ion, 2.9 kWh, 72V","PMSM, 3.0-4.0 kW, 22 Nm","ECU, app integration","DC, 5 hrs","Telescopic","Mono shock","Disc","Disc","90/90-12","100/80-12","Alloy, 12 inch","Touchscreen","LED","Aluminium",80,100-125,108,110,"Plus features, Bluetooth, music control, regen"
Ather,Rizta,"Li-ion, 2.9-3.7 kWh, 72V","PMSM, 4.3-5.0 kW, 22 Nm","ECU, family modes","Fast, 4-6 hrs","Telescopic","Twin shock","Disc","Drum","90/90-12 tubeless","100/80-12 tubeless","Alloy, 12 inch","7-inch TFT","LED","Aluminium alloy",80,120-160,119,130,"Family scooter, large boot, SkidChat, pillion backrest, IP67 battery"
