Brand,Model,Common Issues,Service Tips,Battery Care,Motor/Controller Tips,Tools Needed,Manual/Guide Link
Pure EV,EPluto 7G,"Low SOC alerts, Batrics app errors, swappable issues","Mandatory Batrics capacity test each service; 4 free services.","67.2V/10A charger only; 4 hr charge; every 30 days if unused.","Hall sensor common fail.","Multimeter, app.","https://www.pureenergy.co.in/assets/user_manual/epluto-7g-powered-by-x.pdf"
Pure EV,ETrance Neo,"Accel faults, design wear","Similar to 7G; fast accel stress.","Same.","Same.","Same.","Pure manuals"
Pure EV,ETron Plus,"Affordable parts wear faster","More frequent basic checks.","Standard.","Standard.","Basic.","General Pure"
Pure EV,ecuDryft,"Motorcycle-style stress, higher performance issues","Suspension/brake heavy check.","Larger pack; performance monitor.","Higher power.","Same + torque.","Pure support"
Komaki,Venice,"Compact wear, stylish parts damage","Gentle clean; plastic care.","Standard.","Standard.","Basic cleaning tools.","https://komaki.in/blog/maintenance-of-an-electric-scooter/"
Komaki,XGT X-One,"Graphene battery specific care","Monitor graphene health if diagnosable.","Special battery; follow manual.","Standard.","Same.","Komaki blog"
Komaki,SE,"Entry-level loose fittings","Tighten bolts monthly.","Basic.","Basic.","Wrenches.","General Komaki"
Komaki,DT 3000,"Durable tire wear, high load","Tire rotation frequent.","Standard.","Standard.","Tire tools.","Komaki"
Komaki,XGT KM,"High torque stress","Bearing check.","Standard.","Torque monitor.","Same.","General"
Komaki,Flora,"Low seat wear, women-specific ergonomics","Seat/height adjustment check.","Standard.","Standard.","Same.","Komaki"
Komaki,Cat 2.0,"Range claims vs real, petrol-like issues","Range test service.","Standard.","Standard.","Same.","General"
Benling,Aura,"App connectivity faults, combined braking","App reset; CBS adjustment.","Standard.","Standard.","Multimeter.","General: https://electricscooterparts.com"
Benling,Icon,"Design wear","Cosmetic + functional check.","Standard.","Standard.","Same.","Benling support"
Benling,Falcon,"High range battery stress","Capacity test frequent.","Higher pack.","Standard.","Same.","General"
Benling,Kriti,"Affordable wear faster","More frequent service.","Standard.","Standard.","Basic.","Benling"
Okaya,Faast F2B,"Fast charge heat, high range drop","Heat monitor during charge.","Large pack care.","Higher power.","Same.","https://support.levyelectric.com (similar models)"
Okaya,Freedum,"Variant differences low/high speed","Speed limiter check if present.","Standard.","Standard.","Same.","Okaya"
Okaya,Classiq,"Classic parts availability","Stock genuine.","Standard.","Standard.","Same.","General"
Okaya,Evok,"Power delivery issues","Throttle calibration.","Standard.","Controller check.","Multimeter.","Okaya"
Hero Electric,Optima CX,"Removable battery handling, convertible seats wear","Careful battery insert; seat mechanism.","Ventilated charge.","Standard.","Torque wrench.","https://www.youtube.com/watch?v=FPfvwobxUC4"
Hero Electric,Photon HX,"Range variants difference","Test actual range.","Higher pack variants.","Standard.","Same.","Hero Electric"
Hero Electric,Nyx HX,"Sleek design damage","Body care.","Standard.","Standard.","Same.","General Hero"
Hero Electric,Atria,"Loop frame stress","Frame inspection.","Standard.","Standard.","Same.","Hero"
Revolt,RV400,"Software glitches, AI app errors, sound system","OTA update; app reset; synthetic sound check.","Ventilated charge; timely service.","Burn odor check.","Multimeter, carbon tester.","https://www.revoltmotors.com/blog/ultimate-guide-to-maintaining-your-electric-bike-for-long-life"
Revolt,RV300,"Older model parts scarcity (if discontinued)","Stock spares.","Standard.","Standard.","Same.","Revolt older guides"
Ather,450X,"Touchscreen hang, OTA fails, fast charge issues","Dashboard reset; software update; Bluetooth reconnect.","Recommended charge level; shaded park.","Wiring/overheat check.","App diagnostics, multimeter.","https://www.atherenergy.com/blog/maintenance-guide-for-your-electric-scooter"
Ather,450 Plus,"Similar but lower power","Less stress than X.","Standard.","Standard.","Same.","Ather guides"
Ather,Rizta,"Family use: large boot wear, SkidChat issues","Boot mechanism; chat feature test.","Family pack care.","Standard.","Same.","Ather support"
